"Species","Zone","Year","YearIndex","Parameter","psi","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff"
"Erebia meolans","Buffer",2000,1,"psi.fs.r_Buffer[1]",0.52834238849369,0.168243931246363,0.239081494822152,0.405673120216119,0.512381809995498,0.643854119765871,0.875281404772625,1.00970421137992,250
"Erebia meolans","Buffer",2001,2,"psi.fs.r_Buffer[2]",0.550173635103267,0.125584081249128,0.330031517334534,0.458802341287708,0.538946420531292,0.632147681224674,0.815882476750817,1.00992515813906,280
"Erebia meolans","Buffer",2002,3,"psi.fs.r_Buffer[3]",0.512120640249527,0.116839194266841,0.303917154434939,0.426384511481315,0.506078343088699,0.589374155785682,0.754615038271049,1.0038538220146,690
"Erebia meolans","Buffer",2003,4,"psi.fs.r_Buffer[4]",0.456901138110209,0.105796034308086,0.273750562809545,0.381359747861324,0.44844664565511,0.524088248536695,0.686627645204863,1.00445428344649,570
"Erebia meolans","Buffer",2004,5,"psi.fs.r_Buffer[5]",0.431025362779412,0.100916713030667,0.25168842863575,0.359297613687528,0.424133273300315,0.496172895092301,0.645655110310671,1.00359394365616,750
"Erebia meolans","Buffer",2005,6,"psi.fs.r_Buffer[6]",0.350232862097556,0.109411259694802,0.156652363862719,0.271499324628546,0.343989194056731,0.421431787483116,0.583070688878883,1.00185872275546,2100
"Erebia meolans","Buffer",2006,7,"psi.fs.r_Buffer[7]",0.307443283725041,0.10706661876979,0.126069338135975,0.230977037370554,0.29761368752814,0.375506528590725,0.539396668167492,1.00351503640316,770
"Erebia meolans","Buffer",2007,8,"psi.fs.r_Buffer[8]",0.382178244839342,0.0978742199897458,0.215634816517942,0.311571364250338,0.373930594096464,0.443944169293111,0.597028365601081,1.00479867047719,520
"Erebia meolans","Buffer",2008,9,"psi.fs.r_Buffer[9]",0.344028504606426,0.101945423385634,0.167041873030167,0.271049076992346,0.336785231877533,0.408824853669518,0.563710040522287,1.00574155760288,420
"Erebia meolans","Buffer",2009,10,"psi.fs.r_Buffer[10]",0.368924308009369,0.082971062897098,0.224223322827555,0.308869878433138,0.362899594777127,0.422332282755516,0.544799639801891,1.00348182426349,780
"Erebia meolans","Buffer",2010,11,"psi.fs.r_Buffer[11]",0.448035641024706,0.0716372004924946,0.316524088248537,0.39846915803692,0.443493921656911,0.493471409275101,0.59882935614588,1.0090736597216,250
"Erebia meolans","Buffer",2011,12,"psi.fs.r_Buffer[12]",0.497648301525335,0.0628945872952386,0.380009004952724,0.453399369653309,0.494822152183701,0.539846915803692,0.626744709590275,1.00328338463875,850
"Erebia meolans","Buffer",2012,13,"psi.fs.r_Buffer[13]",0.275232115737463,0.0519896304672115,0.180099054479964,0.238631247185952,0.272850067537145,0.309320126069338,0.383610986042323,1.00654203627857,360
"Erebia meolans","Buffer",2013,14,"psi.fs.r_Buffer[14]",0.306532003943303,0.0485598201349026,0.221071589374156,0.271949572264746,0.303466906798739,0.337235479513733,0.410209348019139,1.01056394353373,230
"Erebia meolans","Buffer",2014,15,"psi.fs.r_Buffer[15]",0.291898955766806,0.0479646130005106,0.204862674470959,0.258442143178748,0.289509230076542,0.322827555155335,0.394867176947321,1.0071052088675,330
"Erebia meolans","Buffer",2015,16,"psi.fs.r_Buffer[16]",0.219407060021626,0.039885749004029,0.14993246285457,0.191355245384962,0.216569113012157,0.244034218820351,0.305301642902685,1.00164244647526,2800
"Erebia meolans","Buffer",2016,17,"psi.fs.r_Buffer[17]",0.202737698353356,0.0322729472708658,0.145429986492571,0.180099054479964,0.20081044574516,0.223322827555155,0.270598829356146,1.00325778294413,860
"Erebia meolans","Buffer",2017,18,"psi.fs.r_Buffer[18]",0.356480245052871,0.0463204640702407,0.273750562809545,0.324628545700135,0.352994146780729,0.385411976587123,0.456551103106709,1.01620490617635,140
"Erebia meolans","Buffer",2018,19,"psi.fs.r_Buffer[19]",0.32945385938864,0.0488896797866174,0.244034218820351,0.295812696983341,0.325979288608735,0.358847366051328,0.436740207113913,1.01029226564192,220
"Erebia meolans","Buffer",2019,20,"psi.fs.r_Buffer[20]",0.241933355874984,0.0393738175756911,0.173795587573165,0.213867627194957,0.239081494822152,0.266546600630347,0.326879783881135,1.00928589794812,240
"Erebia meolans","Buffer",2020,21,"psi.fs.r_Buffer[21]",0.263778921791324,0.0468496723251483,0.183701035569563,0.230977037370554,0.259342638451148,0.292210715893742,0.367402071139127,1.01208158800587,180
"Erebia meolans","Buffer",2021,22,"psi.fs.r_Buffer[22]",0.267642567948826,0.0465783450235568,0.189104007203962,0.234128770823953,0.263394867176947,0.295812696983341,0.371904547501126,1.00190383284154,2000
"Erebia meolans","Buffer",2022,23,"psi.fs.r_Buffer[23]",0.130693033283517,0.0300038215140709,0.0787933363349842,0.109860423232778,0.128320576316974,0.14903196758217,0.19765871229176,1.00154347801496,3200
"Erebia meolans","Buffer",2023,24,"psi.fs.r_Buffer[24]",0.0589380189707399,0.0229157203532516,0.0229626294461954,0.0423232778027915,0.0562809545249887,0.0720396217919856,0.111211166141378,1.00755077317425,300
"Erebia meolans","Core",2000,1,"psi.fs.r_Core[1]",0.467183190743632,0.181046520130234,0.138397502601457,0.335067637877211,0.45681581685744,0.593132154006244,0.836628511966701,1.00786014536897,400
"Erebia meolans","Core",2001,2,"psi.fs.r_Core[2]",0.548500219428811,0.139284758382251,0.295525494276795,0.448491155046826,0.541103017689906,0.643080124869927,0.835587929240375,1.01157728197625,190
"Erebia meolans","Core",2002,3,"psi.fs.r_Core[3]",0.602603288424576,0.117032193888421,0.389177939646202,0.520291363163371,0.596253902185224,0.68054110301769,0.848074921956296,1.01861886325519,130
"Erebia meolans","Core",2003,4,"psi.fs.r_Core[4]",0.643940252506,0.112998506569626,0.431841831425598,0.566077003121748,0.640998959417274,0.719042663891779,0.872008324661811,1.01841559001831,130
"Erebia meolans","Core",2004,5,"psi.fs.r_Core[5]",0.614502501238677,0.128261208426059,0.365244536940687,0.526534859521332,0.613423296520142,0.701352757544225,0.86888657648283,1.01234260472659,200
"Erebia meolans","Core",2005,6,"psi.fs.r_Core[6]",0.569307138830428,0.143114319231978,0.291363163371488,0.470603322430558,0.569198751300728,0.667013527575442,0.848074921956296,1.00867700924803,260
"Erebia meolans","Core",2006,7,"psi.fs.r_Core[7]",0.593153852325919,0.124309991490998,0.356919875130073,0.506763787721124,0.590010405827263,0.678459937565036,0.836628511966701,1.00583474538263,410
"Erebia meolans","Core",2007,8,"psi.fs.r_Core[8]",0.547079838056647,0.13562194384646,0.278876170655567,0.455775234131113,0.54630593132154,0.63891779396462,0.812695109261186,1.00955752508218,320
"Erebia meolans","Core",2008,9,"psi.fs.r_Core[9]",0.58947341144104,0.113440488380474,0.371488033298647,0.511966701352758,0.58792924037461,0.665972944849116,0.813735691987513,1.00469888010651,530
"Erebia meolans","Core",2009,10,"psi.fs.r_Core[10]",0.613907072288915,0.0926720182970373,0.439125910509886,0.550468262226847,0.610822060353798,0.674297606659729,0.806451612903226,1.00355240132371,760
"Erebia meolans","Core",2010,11,"psi.fs.r_Core[11]",0.501835719472051,0.0937714969700812,0.317377731529657,0.439125910509886,0.50156087408949,0.565036420395421,0.685744016649324,1.00512491178454,480
"Erebia meolans","Core",2011,12,"psi.fs.r_Core[12]",0.541470640300242,0.0738488851278226,0.403746097814776,0.491155046826223,0.539021852237253,0.588969823100936,0.697190426638918,1.00414417763532,620
"Erebia meolans","Core",2012,13,"psi.fs.r_Core[13]",0.410608698747086,0.073477857564755,0.27159209157128,0.360041623309053,0.40894901144641,0.458896982310094,0.559911483456699,1.00692070781703,340
"Erebia meolans","Core",2013,14,"psi.fs.r_Core[14]",0.395208043176846,0.0656842125032139,0.27471383975026,0.349635796045786,0.392299687825182,0.438085327783559,0.528616024973985,1.00752868499631,310
"Erebia meolans","Core",2014,15,"psi.fs.r_Core[15]",0.351401008987475,0.075481395517932,0.214360041623309,0.297606659729448,0.346514047866805,0.401664932362123,0.506763787721124,1.00221146920263,1600
