"Species","Parameter","mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","Species_raw","Zone","YearIndex","Year","sp_key","psi","Rhat_num","neff_num"
"Erebia meolans","psi.fs.r_Buffer[1]",0.52834238849369,0.168243931246363,0.239081494822152,0.405673120216119,0.512381809995498,0.643854119765871,0.875281404772625,1.00970421137992,250,"Erebia meolans","Buffer",1,2000,"erebia meolans",0.52834238849369,1.00970421137992,250
"Erebia meolans","psi.fs.r_Buffer[2]",0.550173635103267,0.125584081249128,0.330031517334534,0.458802341287708,0.538946420531292,0.632147681224674,0.815882476750817,1.00992515813906,280,"Erebia meolans","Buffer",2,2001,"erebia meolans",0.550173635103267,1.00992515813906,280
"Erebia meolans","psi.fs.r_Buffer[3]",0.512120640249527,0.116839194266841,0.303917154434939,0.426384511481315,0.506078343088699,0.589374155785682,0.754615038271049,1.0038538220146,690,"Erebia meolans","Buffer",3,2002,"erebia meolans",0.512120640249527,1.0038538220146,690
"Erebia meolans","psi.fs.r_Buffer[4]",0.456901138110209,0.105796034308086,0.273750562809545,0.381359747861324,0.44844664565511,0.524088248536695,0.686627645204863,1.00445428344649,570,"Erebia meolans","Buffer",4,2003,"erebia meolans",0.456901138110209,1.00445428344649,570
"Erebia meolans","psi.fs.r_Buffer[5]",0.431025362779412,0.100916713030667,0.25168842863575,0.359297613687528,0.424133273300315,0.496172895092301,0.645655110310671,1.00359394365616,750,"Erebia meolans","Buffer",5,2004,"erebia meolans",0.431025362779412,1.00359394365616,750
"Erebia meolans","psi.fs.r_Buffer[6]",0.350232862097556,0.109411259694802,0.156652363862719,0.271499324628546,0.343989194056731,0.421431787483116,0.583070688878883,1.00185872275546,2100,"Erebia meolans","Buffer",6,2005,"erebia meolans",0.350232862097556,1.00185872275546,2100
"Erebia meolans","psi.fs.r_Buffer[7]",0.307443283725041,0.10706661876979,0.126069338135975,0.230977037370554,0.29761368752814,0.375506528590725,0.539396668167492,1.00351503640316,770,"Erebia meolans","Buffer",7,2006,"erebia meolans",0.307443283725041,1.00351503640316,770
"Erebia meolans","psi.fs.r_Buffer[8]",0.382178244839342,0.0978742199897458,0.215634816517942,0.311571364250338,0.373930594096464,0.443944169293111,0.597028365601081,1.00479867047719,520,"Erebia meolans","Buffer",8,2007,"erebia meolans",0.382178244839342,1.00479867047719,520
"Erebia meolans","psi.fs.r_Buffer[9]",0.344028504606426,0.101945423385634,0.167041873030167,0.271049076992346,0.336785231877533,0.408824853669518,0.563710040522287,1.00574155760288,420,"Erebia meolans","Buffer",9,2008,"erebia meolans",0.344028504606426,1.00574155760288,420
"Erebia meolans","psi.fs.r_Buffer[10]",0.368924308009369,0.082971062897098,0.224223322827555,0.308869878433138,0.362899594777127,0.422332282755516,0.544799639801891,1.00348182426349,780,"Erebia meolans","Buffer",10,2009,"erebia meolans",0.368924308009369,1.00348182426349,780
"Erebia meolans","psi.fs.r_Buffer[11]",0.448035641024706,0.0716372004924946,0.316524088248537,0.39846915803692,0.443493921656911,0.493471409275101,0.59882935614588,1.0090736597216,250,"Erebia meolans","Buffer",11,2010,"erebia meolans",0.448035641024706,1.0090736597216,250
"Erebia meolans","psi.fs.r_Buffer[12]",0.497648301525335,0.0628945872952386,0.380009004952724,0.453399369653309,0.494822152183701,0.539846915803692,0.626744709590275,1.00328338463875,850,"Erebia meolans","Buffer",12,2011,"erebia meolans",0.497648301525335,1.00328338463875,850
"Erebia meolans","psi.fs.r_Buffer[13]",0.275232115737463,0.0519896304672115,0.180099054479964,0.238631247185952,0.272850067537145,0.309320126069338,0.383610986042323,1.00654203627857,360,"Erebia meolans","Buffer",13,2012,"erebia meolans",0.275232115737463,1.00654203627857,360
"Erebia meolans","psi.fs.r_Buffer[14]",0.306532003943303,0.0485598201349026,0.221071589374156,0.271949572264746,0.303466906798739,0.337235479513733,0.410209348019139,1.01056394353373,230,"Erebia meolans","Buffer",14,2013,"erebia meolans",0.306532003943303,1.01056394353373,230
"Erebia meolans","psi.fs.r_Buffer[15]",0.291898955766806,0.0479646130005106,0.204862674470959,0.258442143178748,0.289509230076542,0.322827555155335,0.394867176947321,1.0071052088675,330,"Erebia meolans","Buffer",15,2014,"erebia meolans",0.291898955766806,1.0071052088675,330
"Erebia meolans","psi.fs.r_Buffer[16]",0.219407060021626,0.039885749004029,0.14993246285457,0.191355245384962,0.216569113012157,0.244034218820351,0.305301642902685,1.00164244647526,2800,"Erebia meolans","Buffer",16,2015,"erebia meolans",0.219407060021626,1.00164244647526,2800
"Erebia meolans","psi.fs.r_Buffer[17]",0.202737698353356,0.0322729472708658,0.145429986492571,0.180099054479964,0.20081044574516,0.223322827555155,0.270598829356146,1.00325778294413,860,"Erebia meolans","Buffer",17,2016,"erebia meolans",0.202737698353356,1.00325778294413,860
"Erebia meolans","psi.fs.r_Buffer[18]",0.356480245052871,0.0463204640702407,0.273750562809545,0.324628545700135,0.352994146780729,0.385411976587123,0.456551103106709,1.01620490617635,140,"Erebia meolans","Buffer",18,2017,"erebia meolans",0.356480245052871,1.01620490617635,140
"Erebia meolans","psi.fs.r_Buffer[19]",0.32945385938864,0.0488896797866174,0.244034218820351,0.295812696983341,0.325979288608735,0.358847366051328,0.436740207113913,1.01029226564192,220,"Erebia meolans","Buffer",19,2018,"erebia meolans",0.32945385938864,1.01029226564192,220
