"Species","sp_key","Zone","Year","psi_mean","psi_sd"
"Erebia meolans","erebia meolans","Buffer",2000,0.52834238849369,0.168243931246363
"Erebia meolans","erebia meolans","Buffer",2001,0.550173635103267,0.125584081249128
"Erebia meolans","erebia meolans","Buffer",2002,0.512120640249527,0.116839194266841
"Erebia meolans","erebia meolans","Buffer",2003,0.456901138110209,0.105796034308086
"Erebia meolans","erebia meolans","Buffer",2004,0.431025362779412,0.100916713030667
"Erebia meolans","erebia meolans","Buffer",2005,0.350232862097556,0.109411259694802
"Erebia meolans","erebia meolans","Buffer",2006,0.307443283725041,0.10706661876979
"Erebia meolans","erebia meolans","Buffer",2007,0.382178244839342,0.0978742199897458
"Erebia meolans","erebia meolans","Buffer",2008,0.344028504606426,0.101945423385634
"Erebia meolans","erebia meolans","Buffer",2009,0.368924308009369,0.082971062897098
"Erebia meolans","erebia meolans","Buffer",2010,0.448035641024706,0.0716372004924946
"Erebia meolans","erebia meolans","Buffer",2011,0.497648301525335,0.0628945872952386
"Erebia meolans","erebia meolans","Buffer",2012,0.275232115737463,0.0519896304672115
"Erebia meolans","erebia meolans","Buffer",2013,0.306532003943303,0.0485598201349026
"Erebia meolans","erebia meolans","Buffer",2014,0.291898955766806,0.0479646130005106
"Erebia meolans","erebia meolans","Buffer",2015,0.219407060021626,0.039885749004029
"Erebia meolans","erebia meolans","Buffer",2016,0.202737698353356,0.0322729472708658
"Erebia meolans","erebia meolans","Buffer",2017,0.356480245052871,0.0463204640702407
"Erebia meolans","erebia meolans","Buffer",2018,0.32945385938864,0.0488896797866174
"Erebia meolans","erebia meolans","Buffer",2019,0.241933355874984,0.0393738175756911
"Erebia meolans","erebia meolans","Buffer",2020,0.263778921791324,0.0468496723251483
"Erebia meolans","erebia meolans","Buffer",2021,0.267642567948826,0.0465783450235568
"Erebia meolans","erebia meolans","Buffer",2022,0.130693033283517,0.0300038215140709
"Erebia meolans","erebia meolans","Buffer",2023,0.0589380189707399,0.0229157203532516
"Erebia meolans","erebia meolans","Core",2000,0.467183190743632,0.181046520130234
"Erebia meolans","erebia meolans","Core",2001,0.548500219428811,0.139284758382251
"Erebia meolans","erebia meolans","Core",2002,0.602603288424576,0.117032193888421
"Erebia meolans","erebia meolans","Core",2003,0.643940252506,0.112998506569626
"Erebia meolans","erebia meolans","Core",2004,0.614502501238677,0.128261208426059
"Erebia meolans","erebia meolans","Core",2005,0.569307138830428,0.143114319231978
"Erebia meolans","erebia meolans","Core",2006,0.593153852325919,0.124309991490998
"Erebia meolans","erebia meolans","Core",2007,0.547079838056647,0.13562194384646
"Erebia meolans","erebia meolans","Core",2008,0.58947341144104,0.113440488380474
"Erebia meolans","erebia meolans","Core",2009,0.613907072288915,0.0926720182970373
"Erebia meolans","erebia meolans","Core",2010,0.501835719472051,0.0937714969700812
"Erebia meolans","erebia meolans","Core",2011,0.541470640300242,0.0738488851278226
"Erebia meolans","erebia meolans","Core",2012,0.410608698747086,0.073477857564755
"Erebia meolans","erebia meolans","Core",2013,0.395208043176846,0.0656842125032139
"Erebia meolans","erebia meolans","Core",2014,0.351401008987475,0.075481395517932
"Erebia meolans","erebia meolans","Core",2015,0.448594131005192,0.0726161008319468
"Erebia meolans","erebia meolans","Core",2016,0.39793511088882,0.0596600047427224
"Erebia meolans","erebia meolans","Core",2017,0.486134617624093,0.0579152519150655
"Erebia meolans","erebia meolans","Core",2018,0.473191960194979,0.0673055666381625
"Erebia meolans","erebia meolans","Core",2019,0.476309909867157,0.0732407430698803
"Erebia meolans","erebia meolans","Core",2020,0.459077645537707,0.0705818125969399
"Erebia meolans","erebia meolans","Core",2021,0.299436915595826,0.0661169660819466
"Erebia meolans","erebia meolans","Core",2022,0.185664456143845,0.0493100089865468
"Erebia meolans","erebia meolans","Core",2023,0.109796515551659,0.0445753626617148
"Erebia meolans","erebia meolans","Outside",2000,0.251086426029251,0.0917259065611958
"Erebia meolans","erebia meolans","Outside",2001,0.248148181472913,0.0758344833582936
"Erebia meolans","erebia meolans","Outside",2002,0.206874614630331,0.062243013165629
"Erebia meolans","erebia meolans","Outside",2003,0.206557481881712,0.0594960486453849
"Erebia meolans","erebia meolans","Outside",2004,0.214823071025417,0.0599224337181582
"Erebia meolans","erebia meolans","Outside",2005,0.256441870534786,0.0631630655112419
"Erebia meolans","erebia meolans","Outside",2006,0.272657344277805,0.0614705877269769
"Erebia meolans","erebia meolans","Outside",2007,0.274907301512015,0.0621227143634498
"Erebia meolans","erebia meolans","Outside",2008,0.235844898306325,0.0541007361057278
"Erebia meolans","erebia meolans","Outside",2009,0.254192948748641,0.0494851008888348
"Erebia meolans","erebia meolans","Outside",2010,0.223541400909102,0.0413386287106543
"Erebia meolans","erebia meolans","Outside",2011,0.180089340601322,0.0355099379591753
"Erebia meolans","erebia meolans","Outside",2012,0.150071004958404,0.0329347179624657
"Erebia meolans","erebia meolans","Outside",2013,0.13654933861826,0.0295777770557423
"Erebia meolans","erebia meolans","Outside",2014,0.196527792729291,0.0355709248901321
"Erebia meolans","erebia meolans","Outside",2015,0.175512374514852,0.0305266489698694
"Erebia meolans","erebia meolans","Outside",2016,0.158694787722257,0.0253347698299053
"Erebia meolans","erebia meolans","Outside",2017,0.143769285889674,0.0255139070654278
"Erebia meolans","erebia meolans","Outside",2018,0.187433630903255,0.0305237635492338
"Erebia meolans","erebia meolans","Outside",2019,0.216913837045968,0.0305640336050997
"Erebia meolans","erebia meolans","Outside",2020,0.19594181838748,0.0291925477640353
"Erebia meolans","erebia meolans","Outside",2021,0.18271127362647,0.0297011310811668
"Erebia meolans","erebia meolans","Outside",2022,0.154741089960478,0.024962913676447
"Erebia meolans","erebia meolans","Outside",2023,0.158448547460958,0.0277377893413567
"Coenonympha dorus","coenonympha dorus","Buffer",2000,0.345282186930985,0.107043644279004
"Coenonympha dorus","coenonympha dorus","Buffer",2001,0.330930346524072,0.0943591603799499
"Coenonympha dorus","coenonympha dorus","Buffer",2002,0.308819986005805,0.087670979800363
"Coenonympha dorus","coenonympha dorus","Buffer",2003,0.283972341403433,0.0830864555921199
"Coenonympha dorus","coenonympha dorus","Buffer",2004,0.283266102386916,0.0822804058058329
"Coenonympha dorus","coenonympha dorus","Buffer",2005,0.27839834861469,0.0803342455665533
"Coenonympha dorus","coenonympha dorus","Buffer",2006,0.273819119867863,0.0769856849423475
"Coenonympha dorus","coenonympha dorus","Buffer",2007,0.291164911178196,0.0765335507664747
"Coenonympha dorus","coenonympha dorus","Buffer",2008,0.278708059909998,0.0711723421752842
"Coenonympha dorus","coenonympha dorus","Buffer",2009,0.230651385714888,0.0611103021863829
"Coenonympha dorus","coenonympha dorus","Buffer",2010,0.217063219153973,0.0507835098386211
"Coenonympha dorus","coenonympha dorus","Buffer",2011,0.21075745575458,0.0474134257409593
"Coenonympha dorus","coenonympha dorus","Buffer",2012,0.206055116993014,0.0466112778612189
"Coenonympha dorus","coenonympha dorus","Buffer",2013,0.202885034113497,0.0447230078324996
"Coenonympha dorus","coenonympha dorus","Buffer",2014,0.204743144282911,0.0425671206477434
"Coenonympha dorus","coenonympha dorus","Buffer",2015,0.192028635551534,0.0388515263154846
"Coenonympha dorus","coenonympha dorus","Buffer",2016,0.161867087203993,0.043020574644296
"Coenonympha dorus","coenonympha dorus","Buffer",2017,0.163456913003322,0.0392238663642719
"Coenonympha dorus","coenonympha dorus","Buffer",2018,0.195706378382098,0.0400494759583587
"Coenonympha dorus","coenonympha dorus","Buffer",2019,0.204222583446998,0.0420313852118582
"Coenonympha dorus","coenonympha dorus","Buffer",2020,0.247716757267802,0.047426216335179
"Coenonympha dorus","coenonympha dorus","Buffer",2021,0.277473875257854,0.0522217144635618
"Coenonympha dorus","coenonympha dorus","Buffer",2022,0.239410366070376,0.0528931523567728
"Coenonympha dorus","coenonympha dorus","Buffer",2023,0.200576991512749,0.059815704894705
"Coenonympha dorus","coenonympha dorus","Core",2000,0.229272563052351,0.0939057447211224
"Coenonympha dorus","coenonympha dorus","Core",2001,0.217911905654665,0.0819569492000799
"Coenonympha dorus","coenonympha dorus","Core",2002,0.19525594599002,0.0696155844672569
"Coenonympha dorus","coenonympha dorus","Core",2003,0.19029400338577,0.0661057920646245
"Coenonympha dorus","coenonympha dorus","Core",2004,0.196196570749687,0.0660465212606641
"Coenonympha dorus","coenonympha dorus","Core",2005,0.190179735975679,0.0646562689006344
"Coenonympha dorus","coenonympha dorus","Core",2006,0.187108357037577,0.0610597350242992
"Coenonympha dorus","coenonympha dorus","Core",2007,0.184690945681457,0.058367608472105
"Coenonympha dorus","coenonympha dorus","Core",2008,0.184292726879348,0.0554140257153666
"Coenonympha dorus","coenonympha dorus","Core",2009,0.189870547928882,0.0534262786934923
"Coenonympha dorus","coenonympha dorus","Core",2010,0.190546474002239,0.0508738225881867
"Coenonympha dorus","coenonympha dorus","Core",2011,0.185270920432314,0.0466333285153896
"Coenonympha dorus","coenonympha dorus","Core",2012,0.177377727366909,0.0448528341970045
"Coenonympha dorus","coenonympha dorus","Core",2013,0.178823501496872,0.0426893196987079
"Coenonympha dorus","coenonympha dorus","Core",2014,0.179299719774267,0.0427545921096835
"Coenonympha dorus","coenonympha dorus","Core",2015,0.166039288632297,0.0413704795754351
"Coenonympha dorus","coenonympha dorus","Core",2016,0.15355994496432,0.0413501531196547
"Coenonympha dorus","coenonympha dorus","Core",2017,0.170809796900606,0.0377663501078777
"Coenonympha dorus","coenonympha dorus","Core",2018,0.148669497542886,0.0378498319755503
"Coenonympha dorus","coenonympha dorus","Core",2019,0.155568626581701,0.0379016966679776
"Coenonympha dorus","coenonympha dorus","Core",2020,0.161837984006517,0.0378989922606502
"Coenonympha dorus","coenonympha dorus","Core",2021,0.144458046220855,0.0406399498522899
"Coenonympha dorus","coenonympha dorus","Core",2022,0.142908515617431,0.0423368557458004
"Coenonympha dorus","coenonympha dorus","Core",2023,0.140926111341623,0.0454102651409589
"Coenonympha dorus","coenonympha dorus","Outside",2000,0.520629303201652,0.233292836101343
"Coenonympha dorus","coenonympha dorus","Outside",2001,0.548160439035692,0.220074793521812
"Coenonympha dorus","coenonympha dorus","Outside",2002,0.651479392851816,0.164323581022023
"Coenonympha dorus","coenonympha dorus","Outside",2003,0.7567548793437,0.121695273488206
"Coenonympha dorus","coenonympha dorus","Outside",2004,0.805880445238383,0.104794079884703
"Coenonympha dorus","coenonympha dorus","Outside",2005,0.827132891796856,0.0920985480333929
"Coenonympha dorus","coenonympha dorus","Outside",2006,0.803012414772359,0.0938786056988435
"Coenonympha dorus","coenonympha dorus","Outside",2007,0.742492814079694,0.10171955633912
"Coenonympha dorus","coenonympha dorus","Outside",2008,0.658767911778682,0.104903658766463
"Coenonympha dorus","coenonympha dorus","Outside",2009,0.501983882786708,0.106538960231404
"Coenonympha dorus","coenonympha dorus","Outside",2010,0.401364966914399,0.0972309774975466
"Coenonympha dorus","coenonympha dorus","Outside",2011,0.418129442362301,0.086578338356276
"Coenonympha dorus","coenonympha dorus","Outside",2012,0.456854967895933,0.0847024517366312
"Coenonympha dorus","coenonympha dorus","Outside",2013,0.45539562881672,0.079374723320872
"Coenonympha dorus","coenonympha dorus","Outside",2014,0.395947538345409,0.0848559263350332
"Coenonympha dorus","coenonympha dorus","Outside",2015,0.354164495349928,0.0729066392184509
"Coenonympha dorus","coenonympha dorus","Outside",2016,0.35483696531024,0.07774823363094
"Coenonympha dorus","coenonympha dorus","Outside",2017,0.438582772950626,0.0676286715718737
"Coenonympha dorus","coenonympha dorus","Outside",2018,0.361230607173534,0.0717694745855345
"Coenonympha dorus","coenonympha dorus","Outside",2019,0.402212731091031,0.0786587610707145
"Coenonympha dorus","coenonympha dorus","Outside",2020,0.523330483708849,0.0853789268543333
"Coenonympha dorus","coenonympha dorus","Outside",2021,0.462491072384639,0.0834223205716977
"Coenonympha dorus","coenonympha dorus","Outside",2022,0.314767838797446,0.0735835681290924
"Coenonympha dorus","coenonympha dorus","Outside",2023,0.268917823592427,0.0774981792144056
"Tuttiola spini","tuttiola spini","Buffer",2000,0.787055675400948,0.127377164695082
"Tuttiola spini","tuttiola spini","Buffer",2001,0.773754435326468,0.125226354581838
"Tuttiola spini","tuttiola spini","Buffer",2002,0.761548509646102,0.122096437444712
"Tuttiola spini","tuttiola spini","Buffer",2003,0.723757967872429,0.126464815109345
"Tuttiola spini","tuttiola spini","Buffer",2004,0.687726606969567,0.132241258498468
"Tuttiola spini","tuttiola spini","Buffer",2005,0.662670026570419,0.129162657103095
"Tuttiola spini","tuttiola spini","Buffer",2006,0.617613877551645,0.130051204199407
"Tuttiola spini","tuttiola spini","Buffer",2007,0.591220265655562,0.125640914452056
"Tuttiola spini","tuttiola spini","Buffer",2008,0.56615767384933,0.117139692515041
"Tuttiola spini","tuttiola spini","Buffer",2009,0.518883540762901,0.113130152089527
"Tuttiola spini","tuttiola spini","Buffer",2010,0.481846293589287,0.102048719046617
"Tuttiola spini","tuttiola spini","Buffer",2011,0.485243864323398,0.0905055418322851
"Tuttiola spini","tuttiola spini","Buffer",2012,0.391888535994527,0.0906138147649343
"Tuttiola spini","tuttiola spini","Buffer",2013,0.388254921845179,0.0814647807166401
"Tuttiola spini","tuttiola spini","Buffer",2014,0.394910269955406,0.0784462970620117
"Tuttiola spini","tuttiola spini","Buffer",2015,0.443086181648331,0.0776528546711706
"Tuttiola spini","tuttiola spini","Buffer",2016,0.372821298338749,0.0817957479030325
"Tuttiola spini","tuttiola spini","Buffer",2017,0.384667575267207,0.0725644118572621
"Tuttiola spini","tuttiola spini","Buffer",2018,0.3913734462145,0.0722599087538995
"Tuttiola spini","tuttiola spini","Buffer",2019,0.407014136803145,0.0677968402533166
"Tuttiola spini","tuttiola spini","Buffer",2020,0.388343021605177,0.0701435191390144
"Tuttiola spini","tuttiola spini","Buffer",2021,0.420502878743525,0.0703146114631348
"Tuttiola spini","tuttiola spini","Buffer",2022,0.38041190431515,0.0715974478551166
"Tuttiola spini","tuttiola spini","Buffer",2023,0.331687153406921,0.0806344562484907
"Tuttiola spini","tuttiola spini","Core",2000,0.547116418197491,0.170771812671114
"Tuttiola spini","tuttiola spini","Core",2001,0.552823596615645,0.156043716909338
"Tuttiola spini","tuttiola spini","Core",2002,0.556044834452228,0.147297837885333
"Tuttiola spini","tuttiola spini","Core",2003,0.595172160296154,0.137183361184935
"Tuttiola spini","tuttiola spini","Core",2004,0.598190256070352,0.141098852713418
"Tuttiola spini","tuttiola spini","Core",2005,0.588322515914443,0.143606247560325
"Tuttiola spini","tuttiola spini","Core",2006,0.591494737402981,0.139163782637908
"Tuttiola spini","tuttiola spini","Core",2007,0.564863614353111,0.137505974804823
"Tuttiola spini","tuttiola spini","Core",2008,0.536022384756686,0.130590351277976
"Tuttiola spini","tuttiola spini","Core",2009,0.492482859107971,0.124931900424848
"Tuttiola spini","tuttiola spini","Core",2010,0.484324447012859,0.11017381130057
"Tuttiola spini","tuttiola spini","Core",2011,0.41338155667804,0.109660319883161
"Tuttiola spini","tuttiola spini","Core",2012,0.393415980515846,0.104201155696397
"Tuttiola spini","tuttiola spini","Core",2013,0.415394557145621,0.100927480897176
"Tuttiola spini","tuttiola spini","Core",2014,0.39391514593707,0.0993018387165272
"Tuttiola spini","tuttiola spini","Core",2015,0.362602649442884,0.0961166197345742
"Tuttiola spini","tuttiola spini","Core",2016,0.344862894197848,0.0949771963118449
"Tuttiola spini","tuttiola spini","Core",2017,0.371975699130787,0.0812502352068496
"Tuttiola spini","tuttiola spini","Core",2018,0.366079948265378,0.0889889110975217
"Tuttiola spini","tuttiola spini","Core",2019,0.424457169962574,0.0830328797756851
