"Guild","Zone","n_species_common","growth_median","growth_low","growth_high"
"Ants","Core",20,-9.55623675237434,-16.2603685549825,-2.44306406119791
"Ants","Buffer",20,-4.08071960340708,-11.1198987267643,3.43554987189518
"Ants","Outside",20,-6.36771156165534,-13.6761282373593,1.28718679481591
"Bee Flies","Core",1,10.1754674361003,-15.9761824875901,64.8496259012262
"Bee Flies","Buffer",1,11.4401210723077,-5.9853199915533,59.3007142801794
"Bee Flies","Outside",1,4.10690747794782,-12.5987413258746,55.5289226456654
"Bumblebees","Core",16,9.60792499269765,1.43224523144835,18.9664984714617
"Bumblebees","Buffer",16,7.77764841122135,0.0327723216491912,17.0890981834571
"Bumblebees","Outside",16,9.3358520754335,1.26852868974926,18.2305016779919
"Butterflies","Core",205,-0.624324609300231,-1.76248288709768,0.546168379200295
"Butterflies","Buffer",205,-2.5410429410424,-3.30269799403841,-1.80022090546317
"Butterflies","Outside",205,-2.23252644276498,-2.89443023729123,-1.55679077279779
"Honey Bees","Core",1,11.9856215116967,1.21382183553376,43.1024942656115
"Honey Bees","Buffer",1,17.6183674628332,7.37826537562886,43.6326612306245
"Honey Bees","Outside",1,16.1119334082685,6.41740787736123,41.6034817070806
"Hoverflies","Core",18,7.46774469390219,1.6818989854938,15.0609726249299
"Hoverflies","Buffer",18,11.2270763481358,4.79440898600639,18.8881281921078
"Hoverflies","Outside",18,11.9137995742923,5.97347205518758,18.4978405336404
"Micro Wasps","Core",1,28.365371547365,-11.1723834221552,80.3008386808045
"Micro Wasps","Buffer",1,11.8879694809807,-5.5798877065069,78.5218680558537
"Micro Wasps","Outside",1,14.2896415515972,-4.82326737462884,77.4651059969296
"Moths","Core",327,-5.17692943334861,-6.50690717563569,-3.85288857799505
"Moths","Buffer",327,-3.32426121098498,-4.30607297189664,-2.35254698370015
"Moths","Outside",327,-2.64420856279346,-3.60091746411847,-1.69929701715196
"Other Flies","Core",4,0.336545419295198,-14.7892597113525,22.097028747882
"Other Flies","Buffer",4,-1.13569649155598,-12.7159724024677,14.486796659158
"Other Flies","Outside",4,4.47780470109744,-9.30888485544871,23.7388066613574
"Social Wasps","Core",3,11.5024585003989,-8.23897093478619,37.427455495709
"Social Wasps","Buffer",3,11.2677168167118,2.02432409271075,27.5689906518328
"Social Wasps","Outside",3,8.50672695175956,0.820839174486022,22.9777680275029
"Solitary Wasps","Core",2,4.28903062472812,-15.5527040206558,34.8913118752282
"Solitary Wasps","Buffer",2,17.6728874144532,-0.432446372677896,47.5585954150107
"Solitary Wasps","Outside",2,6.36804750414925,-2.49164369801915,23.0355780574618
"Wild Bees","Core",12,3.7749356529905,-6.2334053750209,16.1715425958904
"Wild Bees","Buffer",12,8.10390768764016,-2.11841574024683,20.7937794972019
"Wild Bees","Outside",12,10.0520208028883,-1.0941541911113,22.6424188605161
