species,Guild,source
Leptidea sinapis_complex,Butterflies,added_from_lump_map
Agriades optilete,Butterflies,added_from_syn_map
Argynnis pandora,Butterflies,added_from_syn_map
Boloria dia,Butterflies,added_from_syn_map
Boloria euphrosyne,Butterflies,added_from_syn_map
Limenitis camilla,Butterflies,added_from_syn_map
Lycaena hippothoe,Butterflies,added_from_syn_map
Melitaea athalia,Butterflies,added_from_syn_map
Melitaea parthenoides,Butterflies,added_from_syn_map
Melitaea varia,Butterflies,added_from_syn_map
Phengaris alcon,Butterflies,added_from_syn_map
Phengaris arion,Butterflies,added_from_syn_map
Polyommatus damon,Butterflies,added_from_syn_map
Polyommatus dolus,Butterflies,added_from_syn_map
Polyommatus dorylas,Butterflies,added_from_syn_map
Polyommatus escheri,Butterflies,added_from_syn_map
Polyommatus humedasae,Butterflies,added_from_syn_map
Polyommatus semiargus,Butterflies,added_from_syn_map
Satyrium esculi,Butterflies,added_from_syn_map
Satyrium ilicis,Butterflies,added_from_syn_map
Satyrium quercus,Butterflies,added_from_syn_map
