sp_key,Species,n_records_2000_2023,species_taxcorr,Guild,is_syn_target,is_lump_target,from_synonyms,from_lump_sources,present_in_raw_records,meets_50_filter,has_guild,origin_tag
erebia meolans,Erebia meolans,1813,Erebia meolans,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
coenonympha dorus,Coenonympha dorus,779,Coenonympha dorus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
tuttiola spini,Tuttiola spini,936,Tuttiola spini,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
hipparchia hermione,Hipparchia hermione,667,Hipparchia hermione,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
iphiclides podalirius,Iphiclides podalirius,4238,Iphiclides podalirius,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
papilio machaon,Papilio machaon,3909,Papilio machaon,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
lysandra coridon,Lysandra coridon,4007,Lysandra coridon,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
zygaena fausta,Zygaena fausta,431,Zygaena fausta,Moths,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
thymelicus sylvestris,Thymelicus sylvestris,1869,Thymelicus sylvestris,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
hipparchia semele,Hipparchia semele,1996,Hipparchia semele,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
loweia tityrus,Loweia tityrus,4594,Loweia tityrus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
coenonympha pamphilus,Coenonympha pamphilus,5329,Coenonympha pamphilus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
melanargia galathea,Melanargia galathea,7628,Melanargia galathea,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
gonepteryx cleopatra,Gonepteryx cleopatra,2627,Gonepteryx cleopatra,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
argynnis paphia,Argynnis paphia,4618,Argynnis paphia,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
polyommatus icarus,Polyommatus icarus,4557,Polyommatus icarus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
pyronia tithonus,Pyronia tithonus,1925,Pyronia tithonus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
limenitis reducta,Limenitis reducta,1738,Limenitis reducta,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
hipparchia fagi,Hipparchia fagi,644,Hipparchia fagi,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
macroglossum stellatarum,Macroglossum stellatarum,1693,Macroglossum stellatarum,Moths,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
halictus scabiosae,Halictus scabiosae,86,Halictus scabiosae,Wild Bees,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
arethusana arethusa,Arethusana arethusa,969,Arethusana arethusa,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
melitaea didyma,Melitaea didyma,3145,Melitaea didyma,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
vanessa atalanta,Vanessa atalanta,3501,Vanessa atalanta,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
eupeodes corollae,Eupeodes corollae,90,Eupeodes corollae,Hoverflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
colias alfacariensis,Colias alfacariensis,1704,Colias alfacariensis,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
aporia crataegi,Aporia crataegi,4260,Aporia crataegi,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
gonepteryx rhamni,Gonepteryx rhamni,3529,Gonepteryx rhamni,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
erebia aethiops,Erebia aethiops,620,Erebia aethiops,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
acontia trabealis,Acontia trabealis,86,Acontia trabealis,Moths,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
minois dryas,Minois dryas,442,Minois dryas,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
hipparchia statilinus,Hipparchia statilinus,851,Hipparchia statilinus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
colias croceus,Colias croceus,5261,Colias croceus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
spialia sertorius,Spialia sertorius,1400,Spialia sertorius,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
coenonympha arcania,Coenonympha arcania,3323,Coenonympha arcania,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
issoria lathonia,Issoria lathonia,3201,Issoria lathonia,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
lasiommata megera,Lasiommata megera,4006,Lasiommata megera,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
lysandra bellargus,Lysandra bellargus,2948,Lysandra bellargus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
erebia neoridas,Erebia neoridas,902,Erebia neoridas,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
cupido minimus,Cupido minimus,2093,Cupido minimus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
thymelicus acteon,Thymelicus acteon,702,Thymelicus acteon,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
epicallia villica,Epicallia villica,231,Epicallia villica,Moths,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
polygonia c-album,Polygonia c-album,2050,Polygonia c-album,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
pararge aegeria,Pararge aegeria,3171,Pararge aegeria,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
macrothylacia rubi,Macrothylacia rubi,350,Macrothylacia rubi,Moths,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
hesperia comma,Hesperia comma,2085,Hesperia comma,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
thaumetopoea pityocampa,Thaumetopoea pityocampa,345,Thaumetopoea pityocampa,Moths,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
zygaena transalpina,Zygaena transalpina,776,Zygaena transalpina,Moths,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
zygaena filipendulae,Zygaena filipendulae,729,Zygaena filipendulae,Moths,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
pieris rapae,Pieris rapae,2534,Pieris rapae,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
ochlodes venata,Ochlodes venata,2508,Ochlodes venata,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
lasiommata maera,Lasiommata maera,2770,Lasiommata maera,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
meliscaeva auricollis,Meliscaeva auricollis,77,Meliscaeva auricollis,Hoverflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
aglais io,Aglais io,1928,Aglais io,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
anthocharis cardamines,Anthocharis cardamines,3150,Anthocharis cardamines,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
satyrus briseis,Satyrus briseis,543,Satyrus briseis,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
hemaris tityus,Hemaris tityus,114,Hemaris tityus,Moths,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
melitaea phoebe,Melitaea phoebe,2120,Melitaea phoebe,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
lampides boeticus,Lampides boeticus,940,Lampides boeticus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
maniola jurtina,Maniola jurtina,5072,Maniola jurtina,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
apis mellifera,Apis mellifera,1827,Apis mellifera,Honey Bees,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
zerynthia rumina,Zerynthia rumina,640,Zerynthia rumina,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
thymelicus lineola,Thymelicus lineola,1964,Thymelicus lineola,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
euphydryas aurinia,Euphydryas aurinia,831,Euphydryas aurinia,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
pseudophilotes baton,Pseudophilotes baton,689,Pseudophilotes baton,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
glaucopsyche alexis,Glaucopsyche alexis,738,Glaucopsyche alexis,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
celastrina argiolus,Celastrina argiolus,1199,Celastrina argiolus,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
pieris napi,Pieris napi,2475,Pieris napi,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
satyrus actaea,Satyrus actaea,449,Satyrus actaea,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
pieris brassicae,Pieris brassicae,3124,Pieris brassicae,Butterflies,FALSE,FALSE,NA,NA,TRUE,TRUE,TRUE,model_species_direct
