species,species_revised
Vacciniina optilete,Agriades optilete
Damora pandora,Argynnis pandora
Clossiana dia,Boloria dia
Clossiana euphrosyne,Boloria euphrosyne
Ladoga camilla,Limenitis camilla
Palaeochrysophanus hippothoe,Lycaena hippothoe
Mellicta athalia,Melitaea athalia
Mellicta parthenoides,Melitaea parthenoides
Mellicta varia,Melitaea varia
Maculinea alcon,Phengaris alcon
Maculinea arion,Phengaris arion
Agrodiaetus damon,Polyommatus damon
Agrodiaetus dolus,Polyommatus dolus
Plebicula dorylas,Polyommatus dorylas
Plebicula escheri,Polyommatus escheri
Agrodiaetus humedasae,Polyommatus humedasae
Cyaniris semiargus,Polyommatus semiargus
Fixsenia esculi,Satyrium esculi
Nordmannia ilicis,Satyrium ilicis
Quercusia quercus,Satyrium quercus
